Cityname,Year,Month,disDay,disQuantity(ton),disCount
Ulsan,2019,09,Thu,37.31899,26089
Ulsan,2019,09,Fri,32.74535,22347
Ulsan,2019,09,Sat,29.71894,19719
Ulsan,2019,10,Sun,33.7587,22362
Ulsan,2019,10,Mon,31.48514,21545
Ulsan,2019,10,Tues,36.05505,25978
Ulsan,2019,10,Wed,32.53914,23216
Ulsan,2019,10,Thu,39.3012,27443
Ulsan,2019,10,Fri,26.61355,19262
Ulsan,2019,10,Sat,29.72812,20690
Ulsan,2019,11,Sun,37.39405,21507
Ulsan,2019,11,Mon,34.385,20899
Ulsan,2019,11,Tues,32.1743,20146
Ulsan,2019,11,Wed,30.9422,19447
Ulsan,2019,11,Thu,31.5036,19244
Ulsan,2019,11,Fri,38.30215,24201
Ulsan,2019,11,Sat,39.88506,23427
Ulsan,2019,12,Sun,46.90815,24327
Ulsan,2019,12,Mon,45.83405,25219
Ulsan,2019,12,Tues,39.39399,22902
Ulsan,2019,12,Wed,32.3261,18784
Ulsan,2019,12,Thu,30.8874,18322
Ulsan,2019,12,Fri,28.9773,17034
Ulsan,2019,12,Sat,32.48475,17553
Ulsan,2020,01,Sun,33.7521,18824
Ulsan,2020,01,Mon,29.6047,16549
Ulsan,2020,01,Tues,33.5648,19051
Ulsan,2020,01,Wed,39.38145,23001
Ulsan,2020,01,Thu,41.3772,24135
Ulsan,2020,01,Fri,42.42279,24672
Ulsan,2020,01,Sat,28.53825,16433
Ulsan,2020,02,Sun,35.38295,19712
Ulsan,2020,02,Mon,31.54705,18440
Ulsan,2020,02,Tues,28.78975,17323
Ulsan,2020,02,Wed,29.92271,18179
Ulsan,2020,02,Thu,31.593,19340
Ulsan,2020,02,Fri,28.5463,17620
Ulsan,2020,02,Sat,39.9885,23565
Ulsan,2020,03,Sun,43.32796,26159
Ulsan,2020,03,Mon,39.64685,24479
Ulsan,2020,03,Tues,37.0704,23501
Ulsan,2020,03,Wed,29.30429,18750
Ulsan,2020,03,Thu,27.8857,17720
Ulsan,2020,03,Fri,28.4188,18257
Ulsan,2020,03,Sat,29.60085,18470
Ulsan,2020,04,Sun,32.0811,19943
Ulsan,2020,04,Mon,34.04445,21415
Ulsan,2020,04,Tues,30.39575,20094
Ulsan,2020,04,Wed,36.97525,24722
Ulsan,2020,04,Thu,38.40284,25593
Ulsan,2020,04,Fri,26.40705,18047
Ulsan,2020,04,Sat,30.3825,19635
Ulsan,2020,05,Sun,52.19959,32194
Ulsan,2020,05,Mon,37.75915,24210
Ulsan,2020,05,Tues,35.1019,23785
Ulsan,2020,05,Wed,35.03765,23300
Ulsan,2020,05,Thu,33.37985,22819
Ulsan,2020,05,Fri,39.3569,26658
Ulsan,2020,05,Sat,42.23184,27436
Ulsan,2020,06,Sun,44.74335,27503
Ulsan,2020,06,Mon,49.41325,32256
