Year,Month,Hour,disQuantity(ton),disCount
2019,12,07,3014.763187,1342409
2019,12,08,3786.249928,2004512
2019,12,09,4342.107994,2278240
2019,12,10,4107.171757,2139851
2019,12,11,3681.928533,1926565
2019,12,12,3610.742286,1900818
2019,12,13,4086.140313,1999912
2019,12,14,3928.463487,1917445
2019,12,15,3785.665894,1998002
2019,12,16,4123.925709,2156781
2019,12,17,4428.907607,2290342
2019,12,18,4446.025887,2349231
2019,12,19,5024.508838,2718341
2019,12,20,4921.40298,2630897
2019,12,21,4169.680991,2167116
2019,12,22,2713.218692,1384423
2019,12,23,1645.886671,815133
2020,01,00,838.533065,386330
2020,01,01,400.893921,158392
2020,01,02,253.525362,71742
2020,01,03,227.594268,49597
2020,01,04,280.745581,93382
2020,01,05,600.978417,235518
2020,01,06,1765.252939,546742
2020,01,07,2743.240216,1221372
2020,01,08,3619.271131,1893006
2020,01,09,4230.649111,2220495
2020,01,10,4218.46834,2200597
2020,01,11,3857.292981,2033110
2020,01,12,3846.352206,2021122
2020,01,13,4320.902096,2135913
2020,01,14,4135.824472,2047743
2020,01,15,3969.490929,2070671
2020,01,16,4146.364862,2172874
2020,01,17,4422.130497,2293838
2020,01,18,4621.696087,2432862
2020,01,19,5230.71009,2825260
2020,01,20,5023.24976,2685289
2020,01,21,4295.07713,2241595
2020,01,22,2738.574967,1399891
2020,01,23,1686.791995,838785
2020,02,00,731.422174,350981
2020,02,01,341.165346,139996
2020,02,02,238.096158,63113
2020,02,03,181.637616,42384
2020,02,04,267.021779,79448
2020,02,05,550.108613,210721
2020,02,06,1644.253836,506392
2020,02,07,2545.235414,1181411
2020,02,08,3243.104607,1743538
2020,02,09,3627.875334,1962998
2020,02,10,3657.97393,1931886
2020,02,11,3453.904494,1829189
2020,02,12,3538.576929,1888686
2020,02,13,4022.06067,2062676
2020,02,14,3907.090678,2005525
2020,02,15,3769.887439,2012762
2020,02,16,3875.680951,2071333
2020,02,17,4102.694096,2171261
2020,02,18,4483.53672,2408168
2020,02,19,5069.509314,2798316
2020,02,20,4860.948495,2673088
2020,02,21,4008.946352,2158907
2020,02,22,2403.605707,1270481
2020,02,23,1489.463819,760701
2020,03,00,749.712024,372270
2020,03,01,370.482207,155532
2020,03,02,253.999637,69640
2020,03,03,159.642202,44973
2020,03,04,240.482081,80304
2020,03,05,576.770911,222568
2020,03,06,1865.933372,628549
2020,03,07,2732.119821,1360790
2020,03,08,3345.612841,1876672
2020,03,09,3679.390202,2044329
2020,03,10,3806.750646,2105517
2020,03,11,3666.776492,2031138
2020,03,12,3726.211392,2121380
2020,03,13,4301.927698,2359834
2020,03,14,4229.495644,2307023
2020,03,15,3893.379513,2192031
2020,03,16,3893.646225,2176225
2020,03,17,4129.339425,2280671
2020,03,18,4589.360868,2596959
2020,03,19,5584.24201,3240327
2020,03,20,5341.368053,3093629
2020,03,21,4482.213915,2526282
2020,03,22,2662.83871,1467150
2020,03,23,1448.63901,767878
2020,04,00,714.025868,361717
2020,04,01,348.194239,148037
2020,04,02,228.728979,67111
2020,04,03,151.76887,44824
2020,04,04,255.088487,87724
2020,04,05,619.815304,275620
2020,04,06,2053.930383,801572
2020,04,07,2812.428526,1484971
2020,04,08,3384.344067,1977118
2020,04,09,3673.9289,2126200
2020,04,10,3649.93689,2106213
2020,04,11,3342.682661,1949808
2020,04,12,3290.333227,1976827
2020,04,13,3817.423951,2151786
2020,04,14,3690.61086,2066901
2020,04,15,3407.094923,1994956
2020,04,16,3441.107209,1996566
2020,04,17,3653.838349,2093648
2020,04,18,4019.655263,2361834
2020,04,19,5189.781486,3109874
2020,04,20,5181.992293,3055413
2020,04,21,4286.597841,2458966
2020,04,22,2603.303301,1457868
2020,04,23,1419.392013,768003
2020,05,00,925.041285,469789
2020,05,01,432.999442,189678
2020,05,02,265.621248,84167
2020,05,03,191.498606,56011
2020,05,04,315.899348,113282
2020,05,05,978.150795,433527
2020,05,06,2538.650419,998381
2020,05,07,3210.460888,1705986
2020,05,08,3859.074573,2255804
2020,05,09,4220.500283,2405002
2020,05,10,4013.792072,2292846
2020,05,11,3634.91655,2103013
2020,05,12,3557.723265,2103952
2020,05,13,4072.949777,2239702
2020,05,14,3903.261123,2148411
2020,05,15,3708.974482,2169870
2020,05,16,3795.291826,2196476
2020,05,17,4067.089735,2359712
2020,05,18,4553.158538,2711538
2020,05,19,5927.533914,3596052
2020,05,20,6342.264495,3726818
2020,05,21,5496.610307,3125833
2020,05,22,3455.159607,1914964
2020,05,23,1915.19439,1027613
2020,06,00,1016.953185,523548
2020,06,01,437.024187,196568
2020,06,02,257.965505,85658
2020,06,03,192.824479,60870
